,Year,Province,FDI in thousand USD
238,2010,Banten,1544189.0
239,2011,Banten,2171692.0
240,2012,Banten,2716264.0
241,2013,Banten,3720210.0
242,2014,Banten,2034627.0
243,2015,Banten,2541969.0
244,2016,Banten,2912062.0
245,2017,Banten,3047470.0
246,2018,Banten,2827275.0
247,2019,Banten,1868179.0
248,2020,Banten,2143559.0
249,2021,Banten,2189967.0
250,2022,Banten,3410682.0
251,2023,Banten,4451587.0
252,2010,Jawa Timur,1769234.0
253,2011,Jawa Timur,1312040.0
254,2012,Jawa Timur,2298776.0
255,2013,Jawa Timur,3396254.0
256,2014,Jawa Timur,1802506.0
257,2015,Jawa Timur,2593377.0
258,2016,Jawa Timur,1941035.0
259,2017,Jawa Timur,1566657.0
260,2018,Jawa Timur,1333380.0
261,2019,Jawa Timur,866282.0
262,2020,Jawa Timur,1575460.0
263,2021,Jawa Timur,1849173.0
264,2022,Jawa Timur,3134043.0
265,2023,Jawa Timur,4740978.0
266,2010,Jawa Barat,1692006.0
267,2011,Jawa Barat,3839360.0
268,2012,Jawa Barat,4210704.0
269,2013,Jawa Barat,7124881.0
270,2014,Jawa Barat,6561946.0
271,2015,Jawa Barat,5738714.0
272,2016,Jawa Barat,5470857.0
273,2017,Jawa Barat,5142949.0
274,2018,Jawa Barat,5573520.0
275,2019,Jawa Barat,5881045.0
276,2020,Jawa Barat,4793707.0
277,2021,Jawa Barat,5217691.0
278,2022,Jawa Barat,6534450.0
279,2023,Jawa Barat,8283746.0
280,2010,Daerah Khusus Ibukota Jakarta,6429269.0
281,2011,Daerah Khusus Ibukota Jakarta,4824079.0
282,2012,Daerah Khusus Ibukota Jakarta,4107721.0
283,2013,Daerah Khusus Ibukota Jakarta,2589891.0
284,2014,Daerah Khusus Ibukota Jakarta,4509363.0
285,2015,Daerah Khusus Ibukota Jakarta,3619393.0
286,2016,Daerah Khusus Ibukota Jakarta,3398222.0
287,2017,Daerah Khusus Ibukota Jakarta,4595001.0
288,2018,Daerah Khusus Ibukota Jakarta,4857731.0
289,2019,Daerah Khusus Ibukota Jakarta,4122998.0
290,2020,Daerah Khusus Ibukota Jakarta,3613263.0
291,2021,Daerah Khusus Ibukota Jakarta,3330568.0
292,2022,Daerah Khusus Ibukota Jakarta,3744070.0
293,2023,Daerah Khusus Ibukota Jakarta,4830022.0
294,2010,Jawa Tengah,59130.0
295,2011,Jawa Tengah,174965.0
296,2012,Jawa Tengah,241513.0
297,2013,Jawa Tengah,464300.0
298,2014,Jawa Tengah,463361.0
299,2015,Jawa Tengah,850398.0
300,2016,Jawa Tengah,1030796.0
301,2017,Jawa Tengah,2372523.0
302,2018,Jawa Tengah,2372703.0
303,2019,Jawa Tengah,2723240.0
304,2020,Jawa Tengah,1363635.0
305,2021,Jawa Tengah,1465939.0
306,2022,Jawa Tengah,2362039.0
307,2023,Jawa Tengah,1563664.0
308,2010,Daerah Istimewa Yogyakarta,4946.0
309,2011,Daerah Istimewa Yogyakarta,2407.0
310,2012,Daerah Istimewa Yogyakarta,84939.0
311,2013,Daerah Istimewa Yogyakarta,29579.0
312,2014,Daerah Istimewa Yogyakarta,64891.0
313,2015,Daerah Istimewa Yogyakarta,89106.0
314,2016,Daerah Istimewa Yogyakarta,19645.0
315,2017,Daerah Istimewa Yogyakarta,36482.0
316,2018,Daerah Istimewa Yogyakarta,81342.0
317,2019,Daerah Istimewa Yogyakarta,14630.0
318,2020,Daerah Istimewa Yogyakarta,9723.0
319,2021,Daerah Istimewa Yogyakarta,21814.0
320,2022,Daerah Istimewa Yogyakarta,113893.0
321,2023,Daerah Istimewa Yogyakarta,46008.0
