year,region,price,id
2009,2.0,20.9,UKI
2009,3.0,18.49,UKJ
2009,4.0,20.9,UKK
2009,5.0,16.0,UKH
2009,6.0,17.75,UKF
2009,7.0,17.494999999999997,UKG
2009,8.0,17.49,UKE
2009,9.0,21.27,UKD
2009,10.0,14.2,UKC
2009,11.0,17.49,UKL
2009,12.0,17.9,UKM
2009,13.0,14.399999999999999,UKN
2010,2.0,21.27,UKI
2010,3.0,21.299999,UKJ
2010,4.0,22.33,UKK
2010,5.0,18.0,UKH
2010,6.0,17.870001,UKF
2010,7.0,22.33,UKG
2010,8.0,18.99,UKE
2010,9.0,22.33,UKD
2010,10.0,18.5,UKC
2010,11.0,18.99,UKL
2010,12.0,19.9750005,UKM
2010,13.0,18.0,UKN
2011,2.0,24.27,UKI
2011,3.0,24.5,UKJ
2011,4.0,25.07,UKK
2011,5.0,20.83,UKH
2011,6.0,23.5,UKF
2011,7.0,25.07,UKG
2011,8.0,20.83,UKE
2011,9.0,25.67,UKD
2011,10.0,19.889999,UKC
2011,11.0,23.5,UKL
2011,12.0,17.9,UKM
2011,13.0,19.5,UKN
2012,2.0,24.5,UKI
2012,3.0,24.33,UKJ
2012,4.0,24.33,UKK
2012,5.0,20.99,UKH
2012,6.0,24.5,UKF
2012,7.0,24.5,UKG
2012,8.0,20.83,UKE
2012,9.0,26.33,UKD
2012,10.0,20.0,UKC
2012,11.0,20.99,UKL
2012,12.0,19.9,UKM
2012,13.0,20.0,UKN
2013,2.0,24.25,UKI
2013,3.0,24.33,UKJ
2013,4.0,24.33,UKK
2013,5.0,20.83,UKH
2013,6.0,20.0,UKF
2013,7.0,23.9399995,UKG
2013,8.0,20.0,UKE
2013,9.0,26.33,UKD
2013,10.0,20.780001,UKC
2013,11.0,24.33,UKL
2013,12.0,20.0,UKM
2013,13.0,17.33,UKN
2014,2.0,23.75,UKI
2014,3.0,25.67,UKJ
2014,4.0,25.67,UKK
2014,5.0,25.67,UKH
2014,6.0,20.0,UKF
2014,7.0,24.25,UKG
2014,8.0,20.83,UKE
2014,9.0,26.0,UKD
2014,10.0,26.33,UKC
2014,11.0,23.75,UKL
2014,12.0,17.33,UKM
2014,13.0,20.629999,UKN
2015,2.0,21.27,UKI
2015,3.0,21.27,UKJ
2015,4.0,20.83,UKK
2015,5.0,21.27,UKH
2015,6.0,20.0,UKF
2015,7.0,23.0,UKG
2015,8.0,21.27,UKE
2015,9.0,26.0,UKD
2015,10.0,21.27,UKC
2015,11.0,21.27,UKL
2015,12.0,17.33,UKM
2015,13.0,20.0,UKN
2016,2.0,20.0,UKI
2016,3.0,21.27,UKJ
2016,4.0,18.33,UKK
2016,5.0,21.27,UKH
2016,6.0,20.0,UKF
2016,7.0,21.27,UKG
2016,8.0,21.1,UKE
2016,9.0,23.0,UKD
2016,10.0,20.0,UKC
2016,11.0,20.0,UKL
2016,12.0,21.0,UKM
2016,13.0,20.0,UKN
2017,2.0,15.0,UKI
2017,3.0,15.33,UKJ
2017,4.0,17.5,UKK
2017,5.0,21.1,UKH
2017,6.0,16.18,UKF
2017,7.0,20.0,UKG
2017,8.0,20.0,UKE
2017,9.0,21.27,UKD
2017,10.0,20.0,UKC
2017,11.0,20.0,UKL
2017,12.0,21.0,UKM
2017,13.0,20.0,UKN
2018,2.0,16.5,UKI
2018,3.0,15.0,UKJ
2018,4.0,21.0,UKK
2018,5.0,21.105000500000003,UKH
2018,6.0,16.0,UKF
2018,7.0,21.25,UKG
2018,8.0,20.0,UKE
2018,9.0,20.0,UKD
2018,10.0,21.25,UKC
2018,11.0,20.0,UKL
2018,12.0,21.05,UKM
2018,13.0,20.0,UKN
2019,2.0,19.0649995,UKI
2019,3.0,17.75,UKJ
2019,4.0,21.33,UKK
2019,5.0,18.17,UKH
2019,6.0,15.25,UKF
2019,7.0,20.3149995,UKG
2019,8.0,20.0,UKE
2019,9.0,21.0,UKD
2019,10.0,22.5,UKC
2019,11.0,20.629999,UKL
2019,12.0,21.0,UKM
2019,13.0,20.0,UKN
2020,2.0,17.0,UKI
2020,3.0,17.65,UKJ
2020,4.0,21.25,UKK
2020,5.0,15.92,UKH
2020,6.0,16.5,UKF
2020,7.0,21.25,UKG
2020,8.0,17.5,UKE
2020,9.0,17.5,UKD
2020,10.0,22.5,UKC
2020,11.0,20.9399995,UKL
2020,12.0,21.25,UKM
2020,13.0,17.5,UKN
2021,2.0,17.5,UKI
2021,3.0,17.65,UKJ
2021,4.0,21.25,UKK
2021,5.0,16.8,UKH
2021,6.0,16.5,UKF
2021,7.0,21.25,UKG
2021,8.0,17.5,UKE
2021,9.0,17.5,UKD
2021,10.0,22.0,UKC
2021,11.0,21.25,UKL
2021,12.0,20.0,UKM
2021,13.0,16.5,UKN
2022,2.0,20.479999499999998,UKI
2022,3.0,18.75,UKJ
2022,4.0,20.6,UKK
2022,5.0,18.6,UKH
2022,6.0,19.709999,UKF
2022,7.0,21.25,UKG
2022,8.0,18.75,UKE
2022,9.0,20.530001,UKD
2022,10.0,22.0,UKC
2022,11.0,21.25,UKL
2022,12.0,18.82,UKM
2022,13.0,19.0,UKN
2023,2.0,22.5,UKI
2023,3.0,19.455,UKJ
2023,4.0,21.18,UKK
2023,5.0,19.41,UKH
2023,6.0,20.0,UKF
2023,7.0,22.5,UKG
2023,8.0,21.18,UKE
2023,9.0,21.120001,UKD
2023,10.0,23.5,UKC
2023,11.0,22.5,UKL
2023,12.0,20.879999,UKM
2023,13.0,23.5,UKN
2024,2.0,21.25,UKI
2024,3.0,18.5,UKJ
2024,4.0,19.41,UKK
2024,5.0,17.59,UKH
2024,6.0,21.0,UKF
2024,7.0,23.0,UKG
2024,8.0,19.120001,UKE
2024,9.0,21.0,UKD
2024,10.0,24.17,UKC
2024,11.0,22.5,UKL
2024,12.0,20.879999,UKM
2024,13.0,23.5,UKN
